Symbol,marketCap,trailingPE,forwardPE,pegRatio,priceToBook,trailingEps,forwardEps,bookValue,payoutRatio,beta,fiveYearAvgDividendYield,52WeekChange,averageVolume,enterpriseToRevenue,profitMargins
COR,-0.19320982695769687,-0.22694002749026626,-0.21656469540600565,-0.07883320023421393,1.215915300323711,0.040589487464229086,0.13829786256220988,-0.046960261078182575,-0.12638909403044016,-1.4150274399814338,-0.3533846966740969,-0.23285457580789215,-0.22834324809482756,-1.0135614520680405,-0.9748168469272611
CNC,-0.22642046562076976,-0.5779996962963146,-0.4101832146732567,-0.0989855916889804,-0.22696579945348852,-0.1193716057443766,-0.13165485724818932,-0.04445658561450509,-0.17220608244338015,-1.3153218817882601,-1.19355948266851,-1.0613724111184046,-0.0845164900282126,-1.0013980437490788,-0.8777226180134252
CNP,-0.27968417968009984,-0.4204122968208655,-0.17624774567822116,-0.057337316015796363,-0.21076166906655838,-0.26994722664737525,-0.33695043036516403,-0.04635511707631744,-0.0699408826020502,-0.3020351624762378,0.7773768574086094,-0.6520297378195645,0.08065447276658375,-0.16810487383201503,-0.11048491327316057
CF,-0.2938889233595779,-0.5194469943249594,-0.2560050525499649,-0.15514358920959628,-0.18348580277172155,-0.1063135573191843,-0.18937140627395802,-0.04560653388569568,-0.1051685941339206,-0.2347918790436324,0.3162282906597963,-0.8750618639059058,-0.22311590171936252,-0.39103422630085377,0.305325211010977
CRL,-0.31078803625762175,-0.2907183245672279,-0.14126357206935664,-0.012733356262579917,-0.1862913683781462,0.005087918308237487,-0.018413526881174785,-0.04339111296887008,-0.17220608244338015,0.7344388959504761,-1.19355948266851,-0.75243826756718,-0.27397884300378733,-0.425729850030351,-0.21850781879521528
SCHW,0.08763592431032813,-0.1499113498420816,-0.12136498698072101,-0.07802710457602328,-0.14297752656986243,-0.23158920939837288,-0.2627956237054739,-0.0462867320461058,-0.09030165659164557,-2.428314159293456,-0.3217991784036303,0.21692051595747683,0.23658462765617555,-1.0478582755247847,1.0188860143149556
CHTR,-0.18980087444433344,-0.6423867010062697,-0.40661230600846565,-0.07345922917960955,-0.1575032293618694,0.9428190208423595,0.8820376968436344,-0.04243319325000756,-0.17220608244338015,-0.0005997539852474798,-1.19355948266851,-1.6239017573244146,-0.243365225369257,-0.5072845058083073,-0.390987612884112
CVX,0.533048707509542,-0.5273084470302979,-0.31288812322924875,0.7987362729826831,-0.21542700605095932,0.07609105662022062,0.028344183721979648,-0.04260055661342027,-0.0418216275455949,0.07359973118176565,1.6112345397489292,-1.2426479093388159,0.11278624426509805,-0.7511508725966702,-0.3102492265131888
CMG,-0.0806262778959672,0.6699876209213678,0.635468246775519,-0.05465033048849418,0.3778807226122795,-0.29443106744461084,-0.3526580987709112,-0.04706553803258735,-0.17220608244338015,0.48169689960033735,-1.19355948266851,0.8890942683353067,0.5652184343234742,0.5359770077131277,-0.040229060732728944
CB,0.03904597629361403,-0.5938570539758036,-0.3187373506888653,0.032408000596096956,-0.2089025878254441,0.629017794624457,0.4531818199053277,-0.039213433363935825,-0.1412560252820532,-0.8654875029632433,-0.07543213589399034,0.06809015891699106,-0.22508732590574063,-0.5511525358111199,0.32368843584707674
CHD,-0.2606411871977571,-0.04228678485700498,0.12776662498236985,-0.03207965205915573,-0.09129146932757337,-0.2042489205081265,-0.26389150754773527,-0.046277786945404735,-0.10019897113443925,-1.1761978471001104,-0.4607754587936836,-0.4421077750698581,-0.23067829812739665,-0.13460565092077625,-0.028928734775091797
CI,-0.018650528034304625,-0.1523030259352718,-0.3551744759989534,-0.09656730471440841,-0.19446339693332323,0.18055544402175902,0.7647781257216614,-0.03938169653037764,-0.08514332002208642,-1.255034800090062,-0.5365807026428036,-0.5499373570459579,-0.2451948430185215,-0.9345989980629777,-0.8957883895494605
